name,male_percent
Sonya,0
Daryl,97
Pat,38
Sonia,0
Donnie,93
Gayle,4
Camille,1
Cristian,99
Dillon,100
Faye,0
Felix,100
Marianne,0
Patty,0
Hattie,0
Kristopher,100
Genesis,1
Robyn,0
Gianna,0
Yvette,0
Damon,100
Lynne,0
Rickey,100
Sheri,0
Alberta,0
Valeria,0
Dominick,100
Natalia,0
Skyler,63
Fredrick,100
Jonah,100
Verna,0
Lorenzo,100
Elise,0
Caden,100
Kaden,100
Maryann,0
Opal,0
Marcella,0
Alberto,100
Julio,100
Kari,0
Leonardo,100
Dave,100
Roman,100
Jace,100
Kaitlin,0
Angie,0
Malcolm,100
Tabitha,0
Karina,0
Blanche,0
Daniela,0
Gage,100
Lila,0
Mckenzie,1
Roxanne,0
Camila,0
Cassidy,2
Fannie,0
Israel,100
Abby,0
Luther,100
Bennie,86
Alisha,0
Enrique,100
Gerard,100
Trenton,100
Inez,1
Damien,100
Lula,0
Jordyn,7
Bryson,100
Dianna,0
Salvatore,100
Rex,100
Mallory,0
Harley,61
Lyle,100
Beulah,0
Myra,0
Mikayla,0
Joey,94
Alana,0
Celeste,0
Simon,100
Donovan,100
Earnest,100
Geoffrey,100
Caitlyn,0
Hubert,100
Santiago,100
Alfredo,100
Mya,0
Traci,0
Arturo,100
Kirsten,0
Vicky,0
Conner,100
Quinn,54
Laverne,21
Annabelle,0
Olga,0
Ellie,0
Otis,100
Juliana,0
Aimee,0
Homer,100
Loren,81
Bella,0
Wilbur,100
Colby,97
Janelle,0
Neal,100
Reagan,9
Noel,81
Serenity,0
Liliana,0
Penelope,0
Wendell,100
Lacey,0
Kellie,0
Scarlett,0
Gerardo,100
Rylee,7
Bernadette,0
Cristina,0
Kayden,87
Flora,0
Gretchen,0
Alejandra,1
Muriel,0
Allyson,0
Nadine,0
Cara,0
Alec,100
Mamie,0
Trent,100
Darius,100
Lana,0
Kelvin,100
Michaela,0
Kenny,100
Hayley,0
Rudolph,100
Leland,100
Lilly,0
Erma,0
Hudson,99
Callie,0
Kiara,0
Jaclyn,0
Kelley,5
Della,0
Marisa,0
Rosemarie,0
Marcos,100
Raquel,0
Cecelia,0
Josie,0
Janis,0
Horace,100
Josue,100
Shelia,0
Bryant,100
Ira,94
Kylee,0
Randolph,100
Selena,0
Latoya,0
Garry,100
Emanuel,100
