name,male_percent
fitnet,0
suha,95
fethullah,100
mumun,100
sergul,0
korhan,100
fisun,0
selva,0
sumeyya,0
immihan,0
simge,0
cakir,23
caglayan,70
naide,0
mufit,100
varol,100
sitti,0
besi,0
maksude,0
berkay,97
zini,0
kadem,61
hamiye,0
cevher,58
macit,100
zakire,0
ogun,100
devlet,23
zulfukar,100
ruziye,0
naside,0
sahibe,0
gulbin,0
alaeddin,100
aysu,0
sifa,13
teyfik,100
nezih,100
seniz,3
hasbi,100
rahman,98
guliz,0
fitnat,0
veysal,100
fayik,100
isminaz,0
dogukan,100
bahaddin,100
durak,100
perizade,0
kamber,100
vecihe,0
zarif,40
zahit,100
mevludiye,0
umahan,0
efendi,100
harika,0
cengizhan,100
bengu,0
sadegul,0
seray,4
sefiye,0
casim,100
cidem,0
gulseven,0
mihriye,0
urkiye,0
burcak,16
kanber,100
muesser,0
sonmez,70
zahire,0
yaprak,0
insaf,0
gulsume,0
mahfuz,100
gazali,3
abdulbari,100
abdulcelil,100
kifayet,0
mestan,100
feristah,0
sadife,0
abdulhalik,100
hatip,100
sacit,100
gulin,0
hudaverdi,95
tamam,0
rifki,100
cansel,6
gulender,0
bedirhan,100
ruken,0
kerziban,0
selbi,0
asker,100
kurban,100
saynur,0
rezzan,3
sezin,2
nafi,100
bozan,96
muslime,0
turkiye,0
idiris,100
vefa,90
ganimet,0
sahsenem,0
nafize,0
alkan,100
nevruz,26
miktat,100
sahizer,0
nezihat,0
mensur,54
zeyni,51
necmeddin,100
heybet,37
ecem,0
erkin,100
ruhan,26
muhiddin,100
abdulmuttalip,100
ummihan,0
gulpasa,9
cabir,100
yasemen,0
nehir,14
sahinaz,0
abdulhadi,100
hazime,0
adviye,0
sekernaz,0
zulfinaz,0
feyziye,0
rezan,9
feryal,0
basar,100
sidik,100
resmigul,0
seyho,100
memik,100
erbil,93
aydemir,100
ruya,0
metehan,100
abdulmenaf,100
faden,0
sayit,100
cavidan,0
hurmuz,3
bagdat,3
gulseher,0
abdulgafur,100
okkas,100
sumbul,0
sittika,0
zekayi,100
said,100
bulut,91
bagdagul,0
masum,100
nabi,100
abdulsamet,100
maruf,100
gulcemal,6
bingul,0
halef,100
julide,0
peri,0
nadime,0
hicabi,100
havvana,0
sunbul,0
raci,100
ferzende,100
muhabbet,3
altug,100
